UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Current Status
325.0,P00325,H,299.7,305.9,1529.0,35.3,172.0,0.0,No Failure,
72.0,P00072,L,300.9,305.7,1474.0,33.1,60.0,0.0,No Failure,
974.0,P00974,M,304.9,309.5,1576.0,47.1,218.0,1.0,Power Failure,
933.0,P00933,L,304.7,308.3,1551.0,45.5,217.0,1.0,Heat Failure,
585.0,P00585,L,303.8,309.7,1574.0,48.2,244.0,1.0,Power Failure,
314.0,P00314,H,295.3,303.4,1413.0,38.8,138.0,0.0,No Failure,
630.0,P00630,H,303.6,309.4,1580.0,49.1,215.0,1.0,Heat Failure,
347.0,P00347,M,300.4,301.6,1546.0,42.2,108.0,0.0,No Failure,
251.0,P00251,L,301.4,300.2,1419.0,35.5,126.0,0.0,No Failure,
374.0,P00374,H,299.6,307.0,1504.0,36.3,163.0,0.0,No Failure,
134.0,P00134,H,301.8,307.6,1493.0,36.8,187.0,0.0,No Failure,
406.0,P00406,M,300.5,302.7,1431.0,44.6,121.0,0.0,No Failure,
70.0,P00070,M,299.6,305.4,1474.0,32.1,160.0,0.0,No Failure,
523.0,P00523,H,304.4,308.3,1565.0,46.7,242.0,1.0,Power Failure,
569.0,P00569,M,303.4,308.8,1562.0,46.7,228.0,1.0,Mechanical Failure,
750.0,P00750,M,304.0,309.3,1572.0,45.5,211.0,1.0,Power Failure,
182.0,P00182,L,300.6,302.1,1458.0,34.2,70.0,0.0,No Failure,
473.0,P00473,M,300.0,300.1,1425.0,41.5,20.0,0.0,No Failure,
332.0,P00332,L,300.1,303.7,1541.0,32.5,117.0,0.0,No Failure,
318.0,P00318,L,295.9,305.2,1543.0,31.3,134.0,0.0,No Failure,
656.0,P00656,M,304.4,310.0,1586.0,46.2,241.0,1.0,Mechanical Failure,
556.0,P00556,M,303.6,308.2,1585.0,45.1,219.0,1.0,Mechanical Failure,
746.0,P00746,M,303.0,309.9,1577.0,50.0,224.0,1.0,Heat Failure,
27.0,P00027,M,295.3,307.8,1469.0,36.5,74.0,0.0,No Failure,
139.0,P00139,M,297.9,305.3,1538.0,30.6,51.0,0.0,No Failure,
881.0,P00881,M,303.3,308.6,1577.0,47.9,214.0,1.0,Mechanical Failure,
565.0,P00565,H,303.0,309.8,1556.0,49.0,228.0,1.0,Mechanical Failure,
489.0,P00489,L,300.7,300.9,1502.0,41.3,70.0,0.0,No Failure,
279.0,P00279,L,297.2,307.0,1547.0,36.0,110.0,0.0,No Failure,
56.0,P00056,M,298.5,301.7,1509.0,37.3,177.0,0.0,No Failure,
799.0,P00799,L,303.3,309.7,1569.0,46.8,213.0,1.0,Power Failure,
185.0,P00185,L,299.8,301.3,1450.0,43.4,93.0,0.0,No Failure,
900.0,P00900,L,304.1,309.3,1584.0,47.8,203.0,1.0,Mechanical Failure,
123.0,P00123,M,302.8,303.1,1493.0,33.5,6.0,0.0,No Failure,
448.0,P00448,M,297.3,304.1,1491.0,30.6,157.0,0.0,No Failure,
359.0,P00359,M,300.8,303.1,1494.0,38.1,150.0,0.0,No Failure,
15.0,P00015,L,296.9,300.7,1531.0,31.7,123.0,0.0,No Failure,
633.0,P00633,H,304.5,308.7,1566.0,49.8,200.0,1.0,Mechanical Failure,
595.0,P00595,M,304.0,309.5,1592.0,47.7,228.0,1.0,Mechanical Failure,
444.0,P00444,M,295.1,306.0,1472.0,40.7,178.0,0.0,No Failure,
319.0,P00319,L,298.1,306.2,1489.0,31.8,0.0,0.0,No Failure,
745.0,P00745,H,303.2,310.0,1593.0,47.2,246.0,1.0,Heat Failure,
829.0,P00829,L,304.7,308.9,1579.0,49.4,214.0,1.0,Mechanical Failure,
221.0,P00221,L,301.1,307.3,1515.0,33.2,143.0,0.0,No Failure,
197.0,P00197,L,299.3,304.9,1445.0,39.0,113.0,0.0,No Failure,
167.0,P00167,M,296.7,301.8,1495.0,31.3,145.0,0.0,No Failure,
417.0,P00417,M,297.9,307.1,1420.0,41.3,126.0,0.0,No Failure,
613.0,P00613,M,304.5,309.4,1562.0,47.6,220.0,1.0,Mechanical Failure,
317.0,P00317,M,296.6,304.2,1488.0,33.9,0.0,0.0,No Failure,
747.0,P00747,H,303.3,309.7,1551.0,49.2,249.0,1.0,Mechanical Failure,
94.0,P00094,H,298.7,303.5,1473.0,42.5,54.0,0.0,No Failure,
793.0,P00793,M,304.1,309.6,1579.0,47.2,232.0,1.0,Heat Failure,
536.0,P00536,L,304.0,309.1,1576.0,46.4,207.0,1.0,Mechanical Failure,
884.0,P00884,L,303.5,308.5,1550.0,48.3,205.0,1.0,Heat Failure,
355.0,P00355,M,300.3,305.8,1527.0,30.8,28.0,0.0,No Failure,
962.0,P00962,L,304.9,308.8,1558.0,47.0,231.0,1.0,Mechanical Failure,
422.0,P00422,L,296.4,306.3,1414.0,40.0,31.0,0.0,No Failure,
388.0,P00388,M,296.6,303.3,1505.0,40.0,198.0,0.0,No Failure,
943.0,P00943,M,304.4,308.2,1578.0,45.4,245.0,1.0,Mechanical Failure,
588.0,P00588,L,304.9,308.5,1577.0,45.9,217.0,1.0,Mechanical Failure,
567.0,P00567,L,303.8,308.6,1597.0,45.2,207.0,1.0,Power Failure,
14.0,P00014,L,301.3,302.5,1528.0,42.9,49.0,0.0,No Failure,
257.0,P00257,H,299.7,304.7,1422.0,35.0,40.0,0.0,No Failure,
127.0,P00127,H,299.1,305.9,1434.0,38.0,85.0,0.0,No Failure,
394.0,P00394,L,295.7,304.9,1443.0,32.8,43.0,0.0,No Failure,
755.0,P00755,M,304.7,309.2,1597.0,47.4,237.0,1.0,Heat Failure,
74.0,P00074,M,299.3,307.6,1455.0,38.2,88.0,0.0,No Failure,
240.0,P00240,M,295.9,304.2,1532.0,34.0,79.0,0.0,No Failure,
626.0,P00626,H,303.3,308.2,1565.0,48.1,216.0,1.0,Heat Failure,
819.0,P00819,L,304.3,308.0,1551.0,46.9,211.0,1.0,Mechanical Failure,
171.0,P00171,H,302.5,305.2,1446.0,38.4,58.0,0.0,No Failure,
861.0,P00861,L,303.9,308.9,1559.0,46.1,242.0,1.0,Heat Failure,
495.0,P00495,M,298.0,301.2,1404.0,41.4,130.0,0.0,No Failure,
883.0,P00883,L,304.7,308.7,1576.0,45.7,226.0,1.0,Heat Failure,
691.0,P00691,L,304.8,308.8,1594.0,46.3,214.0,1.0,Mechanical Failure,
659.0,P00659,M,303.0,309.4,1582.0,49.3,227.0,1.0,Mechanical Failure,
88.0,P00088,M,300.8,305.8,1458.0,31.9,56.0,0.0,No Failure,
538.0,P00538,L,303.9,309.5,1553.0,48.6,215.0,1.0,Mechanical Failure,
539.0,P00539,M,305.0,309.6,1573.0,48.9,238.0,1.0,Power Failure,
940.0,P00940,M,304.7,309.4,1598.0,46.2,229.0,1.0,Heat Failure,
846.0,P00846,H,304.8,309.7,1589.0,49.5,240.0,1.0,Mechanical Failure,
280.0,P00280,H,296.5,304.0,1508.0,35.1,100.0,0.0,No Failure,
566.0,P00566,H,304.3,308.8,1578.0,46.5,244.0,1.0,Heat Failure,
458.0,P00458,M,299.2,304.8,1425.0,41.5,1.0,0.0,No Failure,
375.0,P00375,L,297.7,300.3,1409.0,41.0,146.0,0.0,No Failure,
911.0,P00911,M,304.3,308.2,1551.0,46.9,223.0,1.0,Power Failure,
965.0,P00965,M,304.2,310.0,1552.0,48.9,233.0,1.0,Heat Failure,
20.0,P00020,L,302.9,303.4,1530.0,30.7,21.0,0.0,No Failure,
48.0,P00048,M,296.5,300.1,1442.0,33.8,13.0,0.0,No Failure,
859.0,P00859,L,304.5,308.2,1579.0,49.6,222.0,1.0,Mechanical Failure,
63.0,P00063,L,297.2,305.1,1510.0,43.1,41.0,0.0,No Failure,
270.0,P00270,L,298.6,305.1,1540.0,36.6,25.0,0.0,No Failure,
64.0,P00064,M,302.9,304.0,1511.0,34.5,192.0,0.0,No Failure,
798.0,P00798,L,304.9,308.5,1564.0,48.2,227.0,1.0,Mechanical Failure,
358.0,P00358,H,295.1,306.5,1416.0,35.5,23.0,0.0,No Failure,
968.0,P00968,L,304.1,309.3,1571.0,47.0,246.0,1.0,Heat Failure,
954.0,P00954,L,304.3,309.5,1575.0,45.1,208.0,1.0,Power Failure,
377.0,P00377,H,299.1,307.0,1438.0,31.1,153.0,0.0,No Failure,
862.0,P00862,L,303.8,309.5,1592.0,47.8,217.0,1.0,Mechanical Failure,
269.0,P00269,M,296.4,301.4,1536.0,32.1,165.0,0.0,No Failure,
441.0,P00441,L,298.3,305.9,1425.0,42.2,193.0,0.0,No Failure,
84.0,P00084,M,302.0,302.1,1472.0,32.4,12.0,0.0,No Failure,
124.0,P00124,H,295.0,306.3,1548.0,30.7,173.0,0.0,No Failure,
602.0,P00602,M,304.7,308.9,1569.0,49.7,224.0,1.0,Mechanical Failure,
889.0,P00889,M,304.3,309.0,1575.0,49.7,235.0,1.0,Heat Failure,
685.0,P00685,L,304.2,308.5,1589.0,47.1,216.0,1.0,Power Failure,
598.0,P00598,H,303.4,308.2,1597.0,48.1,242.0,1.0,Power Failure,
790.0,P00790,H,303.1,309.5,1582.0,49.9,238.0,1.0,Mechanical Failure,
802.0,P00802,H,303.1,308.5,1580.0,49.5,215.0,1.0,Power Failure,
560.0,P00560,M,303.1,308.3,1574.0,45.2,214.0,1.0,Mechanical Failure,
324.0,P00324,L,295.9,302.8,1471.0,41.8,86.0,0.0,No Failure,
947.0,P00947,M,303.7,309.5,1557.0,48.0,240.0,1.0,Mechanical Failure,
368.0,P00368,M,297.2,307.0,1453.0,40.1,157.0,0.0,No Failure,
890.0,P00890,M,304.0,309.4,1573.0,49.0,209.0,1.0,Heat Failure,
225.0,P00225,L,295.1,302.9,1530.0,33.4,163.0,0.0,No Failure,
743.0,P00743,L,304.9,309.0,1562.0,47.7,246.0,1.0,Mechanical Failure,
229.0,P00229,M,300.6,302.6,1435.0,31.1,14.0,0.0,No Failure,
3.0,P00003,M,298.2,300.1,1480.0,39.2,111.0,0.0,No Failure,
85.0,P00085,M,302.2,306.7,1476.0,37.3,118.0,0.0,No Failure,
316.0,P00316,L,299.2,302.4,1489.0,39.6,14.0,0.0,No Failure,
643.0,P00643,M,303.5,308.1,1553.0,47.5,229.0,1.0,Heat Failure,
908.0,P00908,H,303.3,308.8,1589.0,46.1,233.0,1.0,Mechanical Failure,
107.0,P00107,H,301.8,301.7,1417.0,44.2,162.0,0.0,No Failure,
164.0,P00164,M,297.7,302.1,1511.0,37.9,120.0,0.0,No Failure,
766.0,P00766,L,304.2,309.0,1585.0,46.3,207.0,1.0,Power Failure,
590.0,P00590,H,303.5,308.9,1569.0,46.7,224.0,1.0,Power Failure,
831.0,P00831,L,303.5,309.0,1584.0,49.6,247.0,1.0,Heat Failure,
971.0,P00971,L,304.8,309.5,1591.0,46.4,225.0,1.0,Mechanical Failure,
362.0,P00362,H,298.6,300.6,1437.0,30.1,104.0,0.0,No Failure,
761.0,P00761,M,303.8,308.5,1588.0,45.1,233.0,1.0,Heat Failure,
601.0,P00601,L,303.3,308.2,1586.0,48.5,205.0,1.0,Power Failure,
877.0,P00877,L,303.2,308.6,1557.0,47.6,201.0,1.0,Mechanical Failure,
515.0,P00515,L,303.7,309.4,1558.0,46.2,220.0,1.0,Heat Failure,
662.0,P00662,L,304.1,308.9,1565.0,48.6,216.0,1.0,Mechanical Failure,
730.0,P00730,L,304.7,308.6,1559.0,49.5,225.0,1.0,Mechanical Failure,
570.0,P00570,L,304.3,309.7,1552.0,45.5,201.0,1.0,Power Failure,
993.0,P00993,H,304.4,309.0,1556.0,45.9,241.0,1.0,Mechanical Failure,
800.0,P00800,M,304.0,308.1,1557.0,48.0,235.0,1.0,Heat Failure,
181.0,P00181,M,297.1,300.9,1477.0,38.0,166.0,0.0,No Failure,
600.0,P00600,H,303.9,308.5,1571.0,47.0,218.0,1.0,Power Failure,
879.0,P00879,L,303.4,309.3,1594.0,46.3,225.0,1.0,Heat Failure,
196.0,P00196,L,301.6,307.7,1414.0,32.6,83.0,0.0,No Failure,
664.0,P00664,M,303.3,308.2,1565.0,47.0,219.0,1.0,Mechanical Failure,
510.0,P00510,M,304.3,308.1,1567.0,47.2,230.0,1.0,Mechanical Failure,
121.0,P00121,M,297.3,300.8,1541.0,37.8,174.0,0.0,No Failure,
40.0,P00040,M,300.1,306.4,1473.0,34.0,79.0,0.0,No Failure,
923.0,P00923,M,303.8,309.8,1591.0,48.5,229.0,1.0,Heat Failure,
801.0,P00801,L,303.4,308.2,1598.0,46.6,237.0,1.0,Heat Failure,
555.0,P00555,L,305.0,308.3,1570.0,48.4,236.0,1.0,Heat Failure,
666.0,P00666,H,303.9,309.5,1550.0,46.8,212.0,1.0,Heat Failure,
832.0,P00832,H,303.5,309.9,1570.0,46.7,220.0,1.0,Mechanical Failure,
393.0,P00393,H,302.4,302.9,1460.0,40.1,92.0,0.0,No Failure,
143.0,P00143,H,297.2,305.0,1475.0,41.4,182.0,0.0,No Failure,
612.0,P00612,L,304.4,308.0,1569.0,46.3,249.0,1.0,Heat Failure,
323.0,P00323,H,300.8,300.6,1482.0,40.5,25.0,0.0,No Failure,
841.0,P00841,H,303.9,308.8,1573.0,49.5,220.0,1.0,Power Failure,
616.0,P00616,M,303.5,309.6,1590.0,48.2,243.0,1.0,Mechanical Failure,
682.0,P00682,H,303.8,309.2,1595.0,49.0,201.0,1.0,Heat Failure,
320.0,P00320,H,301.7,306.1,1413.0,33.4,48.0,0.0,No Failure,
284.0,P00284,M,295.6,302.3,1493.0,31.1,154.0,0.0,No Failure,
350.0,P00350,H,299.0,303.4,1414.0,31.7,133.0,0.0,No Failure,
61.0,P00061,L,296.2,302.1,1477.0,30.4,188.0,0.0,No Failure,
369.0,P00369,M,298.0,300.3,1419.0,35.9,171.0,0.0,No Failure,
256.0,P00256,H,299.4,307.1,1529.0,39.2,134.0,0.0,No Failure,
513.0,P00513,H,304.0,309.4,1598.0,47.1,212.0,1.0,Power Failure,
740.0,P00740,M,305.0,309.1,1576.0,49.3,229.0,1.0,Mechanical Failure,
811.0,P00811,M,304.2,309.4,1575.0,47.4,242.0,1.0,Heat Failure,
397.0,P00397,L,295.0,300.2,1456.0,33.2,157.0,0.0,No Failure,
987.0,P00987,L,304.2,309.4,1585.0,47.5,241.0,1.0,Mechanical Failure,
676.0,P00676,H,303.8,309.9,1562.0,47.8,210.0,1.0,Power Failure,
187.0,P00187,L,302.6,300.5,1429.0,33.7,34.0,0.0,No Failure,
650.0,P00650,L,303.3,309.0,1553.0,49.5,240.0,1.0,Power Failure,
780.0,P00780,L,303.5,308.3,1596.0,47.9,237.0,1.0,Mechanical Failure,
399.0,P00399,H,299.2,301.8,1506.0,32.7,153.0,0.0,No Failure,
282.0,P00282,M,297.2,302.7,1539.0,42.9,61.0,0.0,No Failure,
116.0,P00116,M,300.7,302.2,1418.0,32.8,197.0,0.0,No Failure,
658.0,P00658,H,304.8,308.7,1597.0,49.1,200.0,1.0,Heat Failure,
624.0,P00624,L,305.0,308.3,1571.0,48.9,210.0,1.0,Mechanical Failure,
163.0,P00163,L,300.5,302.9,1524.0,31.2,153.0,0.0,No Failure,
380.0,P00380,L,298.1,304.1,1466.0,40.9,130.0,0.0,No Failure,
423.0,P00423,M,302.6,300.1,1519.0,30.7,63.0,0.0,No Failure,
749.0,P00749,L,303.4,308.9,1583.0,49.1,205.0,1.0,Heat Failure,
586.0,P00586,H,304.9,309.2,1570.0,48.8,243.0,1.0,Mechanical Failure,
328.0,P00328,H,302.0,304.4,1498.0,32.9,70.0,0.0,No Failure,
37.0,P00037,L,296.2,300.8,1414.0,42.2,136.0,0.0,No Failure,
42.0,P00042,L,298.6,306.9,1468.0,34.8,69.0,0.0,No Failure,
138.0,P00138,H,302.4,302.0,1467.0,34.9,90.0,0.0,No Failure,
226.0,P00226,M,299.9,306.9,1501.0,34.2,168.0,0.0,No Failure,
928.0,P00928,M,304.5,308.5,1573.0,45.8,245.0,1.0,Heat Failure,
815.0,P00815,M,303.2,308.0,1564.0,49.5,201.0,1.0,Power Failure,
268.0,P00268,H,301.2,303.6,1450.0,35.1,133.0,0.0,No Failure,
26.0,P00026,M,297.4,301.9,1421.0,39.9,182.0,0.0,No Failure,
935.0,P00935,L,304.5,309.5,1572.0,45.5,222.0,1.0,Heat Failure,
692.0,P00692,L,304.0,309.0,1555.0,46.0,231.0,1.0,Heat Failure,
433.0,P00433,M,297.8,301.4,1546.0,40.3,94.0,0.0,No Failure,
765.0,P00765,L,303.9,308.6,1568.0,46.7,225.0,1.0,Power Failure,
161.0,P00161,M,295.6,305.6,1457.0,39.1,154.0,0.0,No Failure,
946.0,P00946,M,304.2,309.3,1582.0,49.2,237.0,1.0,Power Failure,
857.0,P00857,H,303.6,309.5,1572.0,47.8,230.0,1.0,Heat Failure,
99.0,P00099,H,298.7,304.7,1474.0,37.9,61.0,0.0,No Failure,
895.0,P00895,L,303.3,308.6,1597.0,46.0,242.0,1.0,Heat Failure,
131.0,P00131,M,299.3,304.9,1403.0,37.3,122.0,0.0,No Failure,
851.0,P00851,H,303.8,308.5,1555.0,49.4,232.0,1.0,Heat Failure,
809.0,P00809,L,304.6,308.8,1582.0,47.3,243.0,1.0,Mechanical Failure,
657.0,P00657,L,304.3,308.9,1557.0,48.6,220.0,1.0,Mechanical Failure,
735.0,P00735,L,303.5,309.6,1591.0,45.6,220.0,1.0,Power Failure,
977.0,P00977,L,303.1,309.7,1578.0,49.5,218.0,1.0,Power Failure,
858.0,P00858,H,303.4,309.0,1595.0,45.5,217.0,1.0,Heat Failure,
742.0,P00742,M,303.5,308.7,1577.0,48.1,218.0,1.0,Mechanical Failure,
103.0,P00103,H,296.5,300.2,1444.0,44.8,64.0,0.0,No Failure,
159.0,P00159,H,299.2,307.6,1409.0,39.5,17.0,0.0,No Failure,
632.0,P00632,L,303.3,309.3,1576.0,48.9,244.0,1.0,Heat Failure,
596.0,P00596,L,303.6,309.1,1560.0,50.0,230.0,1.0,Mechanical Failure,
696.0,P00696,M,303.9,308.1,1588.0,46.9,229.0,1.0,Mechanical Failure,
860.0,P00860,L,303.5,309.9,1570.0,45.7,221.0,1.0,Power Failure,
414.0,P00414,M,299.5,301.9,1412.0,43.3,105.0,0.0,No Failure,
407.0,P00407,M,302.1,304.0,1485.0,36.6,42.0,0.0,No Failure,
462.0,P00462,H,295.4,304.5,1416.0,37.8,129.0,0.0,No Failure,
880.0,P00880,M,303.5,308.5,1573.0,45.2,222.0,1.0,Heat Failure,
293.0,P00293,M,298.7,300.2,1525.0,44.2,136.0,0.0,No Failure,
4.0,P00004,L,298.4,302.9,1409.0,38.5,94.0,0.0,No Failure,
502.0,P00502,L,304.2,309.8,1561.0,49.1,216.0,1.0,Mechanical Failure,
668.0,P00668,H,304.2,308.3,1567.0,47.5,224.0,1.0,Mechanical Failure,
688.0,P00688,L,303.3,309.8,1573.0,45.9,221.0,1.0,Mechanical Failure,
165.0,P00165,L,296.7,307.6,1483.0,36.0,114.0,0.0,No Failure,
945.0,P00945,L,303.7,308.7,1572.0,47.5,228.0,1.0,Mechanical Failure,
763.0,P00763,M,304.6,309.1,1552.0,46.4,223.0,1.0,Power Failure,
329.0,P00329,L,296.6,307.4,1471.0,30.9,139.0,0.0,No Failure,
9.0,P00009,L,295.4,305.8,1544.0,33.7,193.0,0.0,No Failure,
655.0,P00655,L,304.6,308.2,1571.0,49.5,248.0,1.0,Heat Failure,
936.0,P00936,L,303.1,308.3,1555.0,48.1,244.0,1.0,Heat Failure,
983.0,P00983,L,303.2,309.6,1562.0,49.6,229.0,1.0,Power Failure,
179.0,P00179,L,299.3,303.2,1483.0,30.4,17.0,0.0,No Failure,
788.0,P00788,H,303.9,309.8,1554.0,45.7,229.0,1.0,Mechanical Failure,
75.0,P00075,H,295.4,300.4,1421.0,34.3,188.0,0.0,No Failure,
734.0,P00734,M,304.4,308.3,1566.0,49.7,214.0,1.0,Heat Failure,
694.0,P00694,M,304.8,308.5,1554.0,45.4,223.0,1.0,Mechanical Failure,
593.0,P00593,M,303.5,309.3,1567.0,49.0,243.0,1.0,Power Failure,
912.0,P00912,M,304.1,309.7,1564.0,49.2,238.0,1.0,Heat Failure,
413.0,P00413,H,299.2,305.6,1536.0,39.8,40.0,0.0,No Failure,
431.0,P00431,M,302.8,305.3,1478.0,33.9,7.0,0.0,No Failure,
870.0,P00870,M,303.9,309.4,1588.0,47.3,244.0,1.0,Mechanical Failure,
683.0,P00683,M,304.4,309.9,1556.0,48.5,234.0,1.0,Mechanical Failure,
721.0,P00721,H,304.8,309.4,1580.0,45.7,222.0,1.0,Power Failure,
379.0,P00379,H,295.9,300.1,1518.0,42.6,37.0,0.0,No Failure,
206.0,P00206,M,295.3,307.4,1419.0,31.3,63.0,0.0,No Failure,
354.0,P00354,L,303.0,300.5,1451.0,43.8,126.0,0.0,No Failure,
997.0,P00997,L,303.7,309.2,1572.0,48.1,236.0,1.0,Power Failure,
427.0,P00427,H,298.9,300.0,1496.0,30.4,92.0,0.0,No Failure,
59.0,P00059,L,301.0,304.3,1467.0,44.5,24.0,0.0,No Failure,
868.0,P00868,H,304.2,308.7,1573.0,49.9,219.0,1.0,Heat Failure,
648.0,P00648,L,303.9,308.5,1579.0,48.3,204.0,1.0,Mechanical Failure,
98.0,P00098,L,302.2,306.4,1537.0,44.5,86.0,0.0,No Failure,
376.0,P00376,L,300.8,302.1,1409.0,37.8,134.0,0.0,No Failure,
456.0,P00456,L,302.1,300.5,1521.0,43.1,47.0,0.0,No Failure,
454.0,P00454,L,300.4,307.3,1418.0,39.6,183.0,0.0,No Failure,
824.0,P00824,H,304.9,309.5,1571.0,49.3,247.0,1.0,Mechanical Failure,
292.0,P00292,M,299.7,307.3,1463.0,38.4,101.0,0.0,No Failure,
81.0,P00081,M,298.5,305.9,1412.0,37.4,14.0,0.0,No Failure,
322.0,P00322,H,299.8,302.3,1542.0,42.6,156.0,0.0,No Failure,
873.0,P00873,L,304.0,309.8,1564.0,47.6,223.0,1.0,Mechanical Failure,
35.0,P00035,M,297.0,307.2,1449.0,42.9,74.0,0.0,No Failure,
955.0,P00955,M,303.7,308.4,1596.0,45.6,207.0,1.0,Mechanical Failure,
611.0,P00611,M,304.9,309.1,1572.0,45.1,201.0,1.0,Power Failure,
283.0,P00283,L,300.8,305.8,1545.0,31.2,111.0,0.0,No Failure,
814.0,P00814,M,303.6,309.5,1550.0,49.3,213.0,1.0,Power Failure,
447.0,P00447,L,302.1,300.9,1477.0,39.6,152.0,0.0,No Failure,
645.0,P00645,M,304.8,309.6,1553.0,47.4,226.0,1.0,Mechanical Failure,
363.0,P00363,M,296.6,307.5,1469.0,32.5,168.0,0.0,No Failure,
552.0,P00552,L,303.3,308.3,1571.0,48.9,222.0,1.0,Mechanical Failure,
615.0,P00615,H,304.0,309.9,1593.0,49.6,223.0,1.0,Mechanical Failure,
699.0,P00699,H,303.8,309.5,1592.0,47.1,213.0,1.0,Power Failure,
136.0,P00136,L,295.3,305.7,1490.0,40.6,3.0,0.0,No Failure,
49.0,P00049,L,300.7,301.2,1419.0,32.9,23.0,0.0,No Failure,
89.0,P00089,M,299.9,305.1,1440.0,36.5,198.0,0.0,No Failure,
558.0,P00558,M,303.4,308.8,1587.0,48.2,228.0,1.0,Mechanical Failure,
757.0,P00757,L,304.4,309.9,1560.0,49.4,240.0,1.0,Power Failure,
951.0,P00951,L,303.1,308.9,1559.0,48.1,236.0,1.0,Mechanical Failure,
778.0,P00778,M,303.4,309.1,1589.0,46.2,202.0,1.0,Heat Failure,
820.0,P00820,L,303.5,309.9,1550.0,46.7,201.0,1.0,Heat Failure,
771.0,P00771,H,303.5,309.0,1567.0,46.9,203.0,1.0,Heat Failure,
2.0,P00002,H,295.7,304.0,1430.0,32.2,73.0,0.0,No Failure,
65.0,P00065,M,298.1,300.5,1502.0,31.4,163.0,0.0,No Failure,
54.0,P00054,M,302.6,307.4,1473.0,32.9,178.0,0.0,No Failure,
926.0,P00926,H,303.3,309.9,1599.0,47.6,226.0,1.0,Mechanical Failure,
777.0,P00777,M,303.4,309.1,1561.0,48.3,224.0,1.0,Heat Failure,
255.0,P00255,L,295.4,302.3,1440.0,39.8,63.0,0.0,No Failure,
969.0,P00969,M,304.7,309.1,1598.0,49.4,245.0,1.0,Power Failure,
410.0,P00410,L,302.5,301.0,1408.0,32.4,48.0,0.0,No Failure,
835.0,P00835,M,304.0,309.4,1552.0,45.0,243.0,1.0,Mechanical Failure,
232.0,P00232,L,297.6,306.9,1466.0,35.1,164.0,0.0,No Failure,
901.0,P00901,M,303.8,308.8,1568.0,48.3,235.0,1.0,Power Failure,
213.0,P00213,M,299.2,306.0,1456.0,35.5,162.0,0.0,No Failure,
636.0,P00636,L,304.8,309.0,1599.0,47.3,219.0,1.0,Mechanical Failure,
150.0,P00150,H,295.3,304.0,1438.0,38.1,76.0,0.0,No Failure,
52.0,P00052,M,295.2,303.6,1481.0,42.1,55.0,0.0,No Failure,
464.0,P00464,H,297.7,304.9,1443.0,41.2,3.0,0.0,No Failure,
697.0,P00697,H,303.5,308.3,1587.0,48.6,205.0,1.0,Mechanical Failure,
